Ano,Categoria da Situação,Cor / Raça,Código da Matricula,Código do Ciclo Matricula,Data de Fim Previsto do Ciclo,Data de Inicio do Ciclo,Data de Ocorrencia da Matricula,Eixo Tecnológico,Faixa Etária,Mês De Ocorrência da Situação,Nome de Curso,Renda Familiar,Sexo,Situação de Matrícula,Subeixo Tecnológico,Tipo de Curso,Turno
2020,Em curso,Branca,89375695,2571561,2022-12-18,2019-02-11,2019-02-01,Informação e Comunicação,15 a 19 anos,2019-02-01,Técnico em Informática,"1<RFP<=1,5",M,Em fluxo,Informática,Técnico-Integrado,Vespertino
2020,Evadidos,Branca,54918401,2152179,2020-12-31,2017-03-13,2017-03-01,Informação e Comunicação,20 a 24 anos,2020-12-01,Técnico em Informática,Não declarada,M,Desligada,Informática,Técnico-Integrado,Vespertino
2020,Em curso,Branca,72174994,2152179,2020-12-31,2017-03-13,2017-03-01,Informação e Comunicação,15 a 19 anos,2017-03-01,Técnico em Informática,"RFP>3,5",M,Em fluxo,Informática,Técnico-Integrado,Vespertino
2020,Em curso,Não declarada,89671176,2571566,2022-12-18,2019-02-11,2019-02-01,Controle e Processos Industriais,15 a 19 anos,2019-02-01,Técnico em Eletrônica,"1,5<RFP<=2,5",M,Em fluxo,Elétrica,Técnico-Integrado,Vespertino
2020,Em curso,Parda,90384727,2140417,2020-12-31,2017-02-13,2019-04-01,Controle e Processos Industriais,20 a 24 anos,2019-04-01,Técnico em Eletrônica,Não declarada,M,Em fluxo,Elétrica,Técnico-Integrado,Vespertino
2020,Em curso,Preta,90384787,2152179,2020-12-31,2017-03-13,2019-04-01,Informação e Comunicação,20 a 24 anos,2019-04-01,Técnico em Informática,"0,5<RFP<=1",M,Em fluxo,Informática,Técnico-Integrado,Vespertino
2020,Em curso,Parda,89588279,2571571,2022-12-18,2019-02-11,2019-02-01,Desenvolvimento Educacional e Social,30 a 34 anos,2019-02-01,Letras - Português e Espanhol,Não declarada,M,Em fluxo,Desenvolvimento Científico,Superior-Licenciatura,Noturno
2020,Em curso,Não declarada,65158647,1993560,2018-12-28,2015-07-27,2015-07-01,Controle e Processos Industriais,30 a 34 anos,2015-07-01,Eletrônica Industrial,"1,5<RFP<=2,5",F,Retido,Elétrica,Superior-Tecnologia,Matutino
2020,Evadidos,Branca,44681974,1207788,2014-12-22,2012-03-05,2012-03-01,Informação e Comunicação,40 a 44 anos,2020-02-01,Análise e Desenvolvimento de Sistemas,Não declarada,M,Abandono,Informática,Superior-Tecnologia,Matutino
2020,Evadidos,Parda,44679244,1174496,2015-12-23,2012-03-05,2012-03-01,Controle e Processos Industriais,25 a 29 anos,2020-02-01,Técnico em Eletrônica,"0,5<RFP<=1",M,Abandono,Elétrica,Técnico-Integrado,Matutino
2020,Em curso,Branca,65156598,1993559,2018-08-31,2015-07-27,2015-07-01,Informação e Comunicação,45 a 49 anos,2015-07-02,Análise e Desenvolvimento de Sistemas,"2,5<RFP<=3,5",M,Retido,Informática,Superior-Tecnologia,Noturno
2020,Em curso,Preta,94168619,2674847,2022-12-23,2020-02-17,2020-02-01,"Turismo, Hospitalidade e Lazer",15 a 19 anos,2020-02-01,Técnico em Lazer,"0,5<RFP<=1",F,Ingressante,Lazer,Técnico-Integrado,Integral
2020,Em curso,Branca,85435453,2492166,2021-12-15,2018-03-01,2018-03-01,Informação e Comunicação,15 a 19 anos,2018-03-01,Técnico em Informática,"1,5<RFP<=2,5",F,Em fluxo,Informática,Técnico-Integrado,Matutino
2020,Em curso,Branca,87615809,2542871,2021-07-26,2018-07-26,2018-07-01,"Turismo, Hospitalidade e Lazer",25 a 29 anos,2018-07-01,Gestão Desportiva e de Lazer,"0,5<RFP<=1",F,Em fluxo,Lazer,Superior-Tecnologia,Matutino
2020,Em curso,Preta,85435463,2492166,2021-12-15,2018-03-01,2018-03-01,Informação e Comunicação,15 a 19 anos,2018-03-01,Técnico em Informática,"0,5<RFP<=1",F,Em fluxo,Informática,Técnico-Integrado,Matutino
2020,Em curso,Branca,85567254,2496392,2021-07-15,2018-03-01,2018-03-01,Controle e Processos Industriais,20 a 24 anos,2018-03-01,Eletrônica Industrial,"0,5<RFP<=1",F,Em fluxo,Elétrica,Superior-Tecnologia,Noturno
2020,Evadidos,Branca,87618836,2542873,2021-07-26,2018-07-26,2018-07-01,Gestão e Negócios,20 a 24 anos,2020-02-01,Processos Gerenciais,"1,5<RFP<=2,5",F,Abandono,Gestão e Negócios,Superior-Tecnologia,Noturno
2020,Em curso,Branca,87617412,2542866,2021-07-26,2018-07-26,2018-07-01,Informação e Comunicação,20 a 24 anos,2018-07-01,Análise e Desenvolvimento de Sistemas,"1,5<RFP<=2,5",F,Em fluxo,Informática,Superior-Tecnologia,Noturno
2020,Em curso,Branca,72173668,2152170,2019-12-16,2017-03-13,2017-03-01,Gestão e Negócios,30 a 34 anos,2017-03-01,Técnico em Comércio,"0<RFP<=0,5",F,Retido,Gestão e Negócios,Técnico-PROEJA - Integrado,Noturno
2020,Em curso,Branca,88224414,2555273,2021-07-28,2018-07-28,2018-07-01,Recursos Naturais,20 a 24 anos,2018-07-01,Técnico em Agroecologia,Não declarada,F,Em fluxo,Agrícola,Técnico-PROEJA - Integrado,Noturno
2020,Em curso,Branca,91267896,2626445,2020-12-23,2019-07-29,2019-07-01,"Turismo, Hospitalidade e Lazer",25 a 29 anos,2019-07-01,Técnico em Guia de Turismo,"0,5<RFP<=1",F,Em fluxo,Turismo,Técnico-Subsequente,Noturno
2020,Em curso,Branca,91334249,2626445,2020-12-23,2019-07-29,2019-07-01,"Turismo, Hospitalidade e Lazer",50 a 54 anos,2019-07-01,Técnico em Guia de Turismo,"0,5<RFP<=1",F,Em fluxo,Turismo,Técnico-Subsequente,Noturno
2020,Em curso,Não declarada,91632602,2634970,2019-12-13,2018-07-26,2018-07-01,"Turismo, Hospitalidade e Lazer",25 a 29 anos,2018-07-01,Técnico em Guia de Turismo,Não declarada,F,Retido,Turismo,Técnico-Subsequente,Noturno
2020,Em curso,Parda,91269010,2626429,2022-07-29,2019-07-29,2019-07-01,Gestão e Negócios,35 a 39 anos,2019-07-01,Processos Gerenciais,"0<RFP<=0,5",F,Em fluxo,Gestão e Negócios,Superior-Tecnologia,Noturno
2020,Em curso,Parda,72173652,2152170,2019-12-16,2017-03-13,2017-03-01,Gestão e Negócios,35 a 39 anos,2017-03-02,Técnico em Comércio,"0<RFP<=0,5",F,Retido,Gestão e Negócios,Técnico-PROEJA - Integrado,Noturno
2020,Em curso,Parda,95275329,2674873,2022-12-23,2020-02-17,2020-06-01,Gestão e Negócios,15 a 19 anos,2020-06-01,Técnico em Comércio,"0<RFP<=0,5",F,Ingressante,Gestão e Negócios,Técnico-PROEJA - Integrado,Noturno
2020,Em curso,Parda,88224388,2555273,2021-07-28,2018-07-28,2018-07-01,Recursos Naturais,40 a 44 anos,2018-07-01,Técnico em Agroecologia,"1,5<RFP<=2,5",F,Em fluxo,Agrícola,Técnico-PROEJA - Integrado,Noturno
2020,Em curso,Preta,91268216,2626436,2022-07-29,2019-07-29,2019-07-01,Recursos Naturais,20 a 24 anos,2019-07-01,Técnico em Agroecologia,"0<RFP<=0,5",F,Em fluxo,Agrícola,Técnico-PROEJA - Integrado,Noturno
2020,Em curso,Preta,89669772,2571551,2021-12-18,2019-02-11,2019-02-01,Gestão e Negócios,35 a 39 anos,2019-02-01,Técnico em Comércio,"1,5<RFP<=2,5",F,Em fluxo,Gestão e Negócios,Técnico-PROEJA - Integrado,Noturno
